path,material,location,voltage
./06-05/TS_CH_Location3_500V-2025-06-05.h5,CH,3,500
./06-05/TS_CH_Location2_125V-2025-06-05.h5,CH,2,125
./06-05/TS_Cu_Location1_400V_redo-2025-06-05.h5,Cu,1,400
./06-05/TS_CH_Location1_300V-2025-06-05.h5,CH,1,300
./06-05/TS_CH_Location5_500V-2025-06-05.h5,CH,5,500
./06-05/TS_CH_Location4_200V-2025-06-05.h5,CH,4,200
./06-05/TS_Cu_Location1_400V-2025-06-05.h5,Cu,1,400
./06-05/TS_CH_Location2_25V-2025-06-05.h5,CH,2,25
./06-05/TS_CH_Location3_175V-2025-06-05.h5,CH,3,175
./06-05/TS_Cu_Location1_0V-2025-06-05.h5,Cu,1,0
./06-05/TS_CH_Location1_50V-2025-06-05.h5,CH,1,50
./06-05/TS_CH_Location4_0V-2025-06-05.h5,CH,4,0
./06-05/TS_CH_Location2_300V-2025-06-05.h5,CH,2,300
./06-05/TS_CH_Location3_400V-2025-06-05.h5,CH,3,400
./06-05/TS_CH_Location5_100V-2025-06-05.h5,CH,5,100
./06-05/TS_CH_Location1_125V-2025-06-05.h5,CH,1,125
./06-05/TS_CH_Location3_25V-2025-06-05.h5,CH,3,25
./06-04/TS_CH_location1_400V-2025-06-04.h5,CH,1,400
./06-04/TS_CH_location1_25V_rerun-2025-06-04.h5,CH,1,25
./06-04/TS_CH_location1_175V-2025-06-04.h5,CH,1,175
./06-04/TS_CH_location1_500V-2025-06-04.h5,CH,1,500
./06-04/TS_CH_location1_100V-2025-06-04.h5,CH,1,100
./06-04/TS_CH_location1_75V-2025-06-04.h5,CH,1,75
./06-04/TS_CH_location1_25V-2025-06-04.h5,CH,1,25
./06-04/TS_CH_location1_150V-2025-06-04.h5,CH,1,150
./06-04/TS_CH_location1_0V-2025-06-04.h5,CH,1,0
./06-04/TS_CH_location1_200V-2025-06-04.h5,CH,1,200
./06-04/TS_CH_location1_125V-2025-06-04.h5,CH,1,125
./06-04/TS_CH_location1_50V-2025-06-04.h5,CH,1,50
./06-04/TS_CH_location1_75V_rerun-2025-06-04.h5,CH,1,75
./06-04/TS_CH_location1_300V-2025-06-04.h5,CH,1,300
